,0
0,abov
1,ach
2,act
3,afraid
4,aim
5,algo
6,alla
7,alreadi
8,although
9,amaz
10,america
11,american
12,amigo
13,amor
14,amour
15,anger
16,answer
17,anybodi
18,anymor
19,anyth
20,apart
21,arm
22,ask
23,aux
24,awak
25,babe
26,babi
27,back
28,band
29,bed
30,befor
31,behind
32,bei
33,beneath
34,betray
35,better
36,bigger
37,birth
38,bis
39,bit
40,bitch
41,bite
42,blast
43,bleed
44,blood
45,bloodi
46,bomb
47,bon
48,boogi
49,book
50,bop
51,bore
52,bought
53,bounc
54,brand
55,brave
56,bright
57,broke
58,broken
59,brown
60,buri
61,burn
62,bus
63,buy
64,call
65,cannot
66,cant
67,care
68,carri
69,casa
70,cast
71,caus
72,cell
73,certain
74,cest
75,charm
76,chase
77,cheat
78,chi
79,chick
80,child
81,chill
82,choic
83,choos
84,chorus
85,christ
86,church
87,cigarett
88,claim
89,clock
90,cloud
91,coffe
92,com
93,come
94,compani
95,complet
96,connect
97,cool
98,could
99,cover
100,crack
101,crash
102,creat
103,cri
104,crown
105,curs
106,cut
107,damn
108,danc
109,dancin
110,date
111,dawn
112,day
113,dead
114,deal
115,dear
116,death
117,decid
118,deep
119,del
120,demon
121,den
122,deni
123,destroy
124,destruct
125,det
126,dia
127,diamond
128,dick
129,die
130,differ
131,dime
132,distant
133,dog
134,doin
135,dolor
136,done
137,door
138,dope
139,doubt
140,dream
141,dress
142,dri
143,drift
144,drink
145,drown
146,drum
147,dumb
148,ear
149,eat
150,edg
151,either
152,electr
153,ell
154,enemi
155,era
156,escap
157,est
158,etern
159,everi
160,everyon
161,everyth
162,everywher
163,except
164,fail
165,fallen
166,fals
167,fan
168,faster
169,father
170,favor
171,favorit
172,fear
173,feed
174,feelin
175,feet
176,figur
177,fill
178,fin
179,final
180,fine
181,fist
182,fit
183,flame
184,fli
185,float
186,flower
187,foi
188,folk
189,food
190,fool
191,forgotten
192,fort
193,forward
194,frame
195,fresh
196,front
197,frozen
198,fuck
199,fuckin
200,fun
201,funki
202,gain
203,game
204,garden
205,gate
206,gather
207,gave
208,gent
209,get
210,ghost
211,girl
212,girlfriend
213,gonna
214,good
215,goodby
216,got
217,grab
218,grace
219,grave
220,green
221,groov
222,grow
223,guid
224,guilti
225,guitar
226,gut
227,hab
228,hace
229,hallelujah
230,hammer
231,han
232,hard
233,hat
234,hate
235,head
236,heard
237,heart
238,heartach
239,heat
240,heavi
241,hell
242,het
243,hey
244,hidden
245,hide
246,high
247,highway
248,hip
249,histori
250,hole
251,holi
252,honest
253,hop
254,hour
255,huh
256,ice
257,idea
258,ignor
259,illus
260,insan
261,insid
262,instead
263,intent
264,island
265,jag
266,jai
267,jam
268,jesus
269,job
270,joke
271,joy
272,judg
273,jump
274,kan
275,kick
276,kid
277,kill
278,killer
279,kingdom
280,knee
281,knew
282,knife
283,know
284,land
285,last
286,laugh
287,laughter
288,law
289,lead
290,least
291,leg
292,les
293,less
294,let
295,lie
296,life
297,lifetim
298,light
299,like
300,lip
301,listen
302,littl
303,livin
304,load
305,long
306,look
307,los
308,lot
309,love
310,luck
311,luna
312,lust
313,luz
314,machin
315,make
316,mal
317,man
318,mano
319,mar
320,mark
321,mas
322,may
323,med
324,meet
325,mein
326,merci
327,mes
328,mess
329,messag
330,met
331,mind
332,mira
333,mission
334,mix
335,mood
336,moon
337,much
338,murder
339,music
340,nach
341,name
342,neck
343,need
344,nest
345,night
346,noi
347,non
348,noon
349,north
350,nothin
351,nous
352,nowher
353,numb
354,ocean
355,okay
356,old
357,older
358,one
359,onli
360,order
361,pain
362,paint
363,paper
364,par
365,para
366,park
367,part
368,pass
369,path
370,peac
371,pena
372,petit
373,pick
374,pictur
375,pill
376,piss
377,place
378,plan
379,planet
380,pocket
381,poco
382,pop
383,posit
384,pour
385,pra
386,precious
387,prepar
388,press
389,pressur
390,prison
391,protect
392,pull
393,pump
394,quiet
395,quit
396,race
397,rain
398,rap
399,reach
400,realiti
401,reflect
402,refrain
403,regret
404,repeat
405,reveal
406,rhyme
407,rich
408,rise
409,rock
410,root
411,rot
412,rule
413,saber
414,sad
415,sai
416,saint
417,sale
418,san
419,satan
420,saw
421,sayin
422,scare
423,scream
424,seed
425,seem
426,sein
427,sell
428,sen
429,sens
430,ser
431,settl
432,sex
433,shake
434,shall
435,shelter
436,shock
437,shot
438,side
439,sigh
440,sin
441,sinc
442,sind
443,sing
444,sink
445,sit
446,situat
447,skin
448,small
449,smash
450,smell
451,snake
452,snow
453,sol
454,solo
455,som
456,somebodi
457,someday
458,song
459,soon
460,soul
461,space
462,speak
463,speed
464,spell
465,spend
466,spent
467,spill
468,stage
469,stare
470,stay
471,steadi
472,straight
473,strength
474,strike
475,string
476,suck
477,suffer
478,sugar
479,sui
480,suit
481,sun
482,surpris
483,sus
484,swallow
485,swear
486,sweat
487,sword
488,tag
489,take
490,taken
491,tan
492,tast
493,taught
494,teach
495,tellin
496,temp
497,tempo
498,tender
499,tes
500,there
501,thi
502,thing
503,thought
504,thousand
505,three
506,threw
507,thunder
508,tight
509,time
510,tire
511,toda
512,tongu
513,top
514,town
515,toy
516,track
517,train
518,travel
519,treat
520,tree
521,trick
522,trip
523,trist
524,troubl
525,trust
526,tune
527,turn
528,und
529,underneath
530,unit
531,univers
532,use
533,vai
534,vain
535,van
536,vas
537,vein
538,ven
539,vers
540,vita
541,voic
542,waitin
543,wake
544,walkin
545,wash
546,wast
547,watch
548,wave
549,wear
550,weather
551,welcom
552,well
553,welt
554,west
555,while
556,whip
557,whisper
558,wide
559,wild
560,winter
561,wir
562,wire
563,wise
564,within
565,woke
566,woman
567,wont
568,woo
569,wors
570,worth
571,would
572,wound
573,wreck
574,write
575,written
576,wrong
577,yeah
578,yet
